Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
627,Argentina,Soybeans,2006,26793,591.0,65872.12,18.1
628,Argentina,Soybeans,2006,26793,591.0,65872.12,18.35
643,Argentina,Soybeans,2007,29712,591.0,81582.64,16.71
644,Argentina,Soybeans,2007,29712,591.0,81582.64,17.14
659,Argentina,Soybeans,2008,28216,591.0,87149.01,17.71
660,Argentina,Soybeans,2008,28216,591.0,87149.01,18.39
675,Argentina,Soybeans,2009,18480,591.0,61586.56,18.16
676,Argentina,Soybeans,2009,18480,591.0,61586.56,18.09
691,Argentina,Soybeans,2010,29053,591.0,105915.04,17.33
692,Argentina,Soybeans,2010,29053,591.0,105915.04,17.84
707,Argentina,Soybeans,2011,26053,591.0,100424.62,17.58
708,Argentina,Soybeans,2011,26053,591.0,100424.62,17.93
723,Argentina,Soybeans,2012,22814,591.0,136185.08,18.18
724,Argentina,Soybeans,2012,22814,591.0,136185.08,18.43
739,Argentina,Soybeans,2013,25391,591.0,171945.54,16.45
740,Argentina,Soybeans,2013,25391,591.0,171945.54,16.88
832,Australia,Soybeans,1990,15718,534.0,17866.0,16.8
833,Australia,Soybeans,1990,15718,534.0,17866.0,20.06
834,Australia,Soybeans,1990,15718,534.0,17866.0,12.11
835,Australia,Soybeans,1990,15718,534.0,17866.0,14.16
836,Australia,Soybeans,1990,15718,534.0,17866.0,18.05
837,Australia,Soybeans,1990,15718,534.0,17866.0,17.47
874,Australia,Soybeans,1991,15551,534.0,17866.0,16.78
875,Australia,Soybeans,1991,15551,534.0,17866.0,20.29
876,Australia,Soybeans,1991,15551,534.0,17866.0,12.22
877,Australia,Soybeans,1991,15551,534.0,17866.0,13.77
878,Australia,Soybeans,1991,15551,534.0,17866.0,18.73
879,Australia,Soybeans,1991,15551,534.0,17866.0,17.85
916,Australia,Soybeans,1992,21141,534.0,22234.0,15.78
917,Australia,Soybeans,1992,21141,534.0,22234.0,19.79
918,Australia,Soybeans,1992,21141,534.0,22234.0,11.21
919,Australia,Soybeans,1992,21141,534.0,22234.0,13.31
920,Australia,Soybeans,1992,21141,534.0,22234.0,18.45
921,Australia,Soybeans,1992,21141,534.0,22234.0,16.89
958,Australia,Soybeans,1993,16168,534.0,23899.0,16.71
959,Australia,Soybeans,1993,16168,534.0,23899.0,20.19
960,Australia,Soybeans,1993,16168,534.0,23899.0,11.84
961,Australia,Soybeans,1993,16168,534.0,23899.0,13.81
962,Australia,Soybeans,1993,16168,534.0,23899.0,18.03
963,Australia,Soybeans,1993,16168,534.0,23899.0,17.42
1000,Australia,Soybeans,1994,19999,534.0,21057.0,16.43
1001,Australia,Soybeans,1994,19999,534.0,21057.0,19.59
1002,Australia,Soybeans,1994,19999,534.0,21057.0,11.6
1003,Australia,Soybeans,1994,19999,534.0,21057.0,13.52
1004,Australia,Soybeans,1994,19999,534.0,21057.0,19.17
1005,Australia,Soybeans,1994,19999,534.0,21057.0,17.36
1042,Australia,Soybeans,1995,15318,534.0,25598.0,16.14
1043,Australia,Soybeans,1995,15318,534.0,25598.0,20.12
1044,Australia,Soybeans,1995,15318,534.0,25598.0,11.39
1045,Australia,Soybeans,1995,15318,534.0,25598.0,13.14
1046,Australia,Soybeans,1995,15318,534.0,25598.0,18.88
1047,Australia,Soybeans,1995,15318,534.0,25598.0,16.95
1084,Australia,Soybeans,1996,18740,534.0,31185.0,16.12
1085,Australia,Soybeans,1996,18740,534.0,31185.0,20.06
1086,Australia,Soybeans,1996,18740,534.0,31185.0,11.29
1087,Australia,Soybeans,1996,18740,534.0,31185.0,13.05
1088,Australia,Soybeans,1996,18740,534.0,31185.0,19.13
1089,Australia,Soybeans,1996,18740,534.0,31185.0,17.05
1126,Australia,Soybeans,1997,18974,534.0,34091.0,16.48
1127,Australia,Soybeans,1997,18974,534.0,34091.0,20.16
1128,Australia,Soybeans,1997,18974,534.0,34091.0,12.13
1129,Australia,Soybeans,1997,18974,534.0,34091.0,13.93
1130,Australia,Soybeans,1997,18974,534.0,34091.0,18.94
1131,Australia,Soybeans,1997,18974,534.0,34091.0,17.51
1168,Australia,Soybeans,1998,17035,534.0,37215.0,16.28
1169,Australia,Soybeans,1998,17035,534.0,37215.0,20.62
1170,Australia,Soybeans,1998,17035,534.0,37215.0,12.46
1171,Australia,Soybeans,1998,17035,534.0,37215.0,13.61
1172,Australia,Soybeans,1998,17035,534.0,37215.0,18.9
1173,Australia,Soybeans,1998,17035,534.0,37215.0,18.05
1210,Australia,Soybeans,1999,22667,534.0,34200.0,16.77
1211,Australia,Soybeans,1999,22667,534.0,34200.0,19.75
1212,Australia,Soybeans,1999,22667,534.0,34200.0,12.1
1213,Australia,Soybeans,1999,22667,534.0,34200.0,14.2
1214,Australia,Soybeans,1999,22667,534.0,34200.0,19.28
1215,Australia,Soybeans,1999,22667,534.0,34200.0,17.55
1252,Australia,Soybeans,2000,18714,534.0,33475.0,17.08
1253,Australia,Soybeans,2000,18714,534.0,33475.0,19.89
1254,Australia,Soybeans,2000,18714,534.0,33475.0,12.09
1255,Australia,Soybeans,2000,18714,534.0,33475.0,14.32
1256,Australia,Soybeans,2000,18714,534.0,33475.0,19.07
1257,Australia,Soybeans,2000,18714,534.0,33475.0,17.57
1294,Australia,Soybeans,2001,14626,534.0,32710.0,16.63
1295,Australia,Soybeans,2001,14626,534.0,32710.0,20.21
1296,Australia,Soybeans,2001,14626,534.0,32710.0,12.29
1297,Australia,Soybeans,2001,14626,534.0,32710.0,14.18
1298,Australia,Soybeans,2001,14626,534.0,32710.0,18.39
1299,Australia,Soybeans,2001,14626,534.0,32710.0,17.85
1336,Australia,Soybeans,2002,19487,534.0,26651.0,16.63
1337,Australia,Soybeans,2002,19487,534.0,26651.0,20.38
1338,Australia,Soybeans,2002,19487,534.0,26651.0,12.31
1339,Australia,Soybeans,2002,19487,534.0,26651.0,14.08
1340,Australia,Soybeans,2002,19487,534.0,26651.0,18.93
1341,Australia,Soybeans,2002,19487,534.0,26651.0,17.73
1378,Australia,Soybeans,2004,22136,534.0,36276.0,16.64
1379,Australia,Soybeans,2004,22136,534.0,36276.0,20.42
1380,Australia,Soybeans,2004,22136,534.0,36276.0,12.35
1381,Australia,Soybeans,2004,22136,534.0,36276.0,13.74
1382,Australia,Soybeans,2004,22136,534.0,36276.0,18.87
1383,Australia,Soybeans,2004,22136,534.0,36276.0,17.87
1420,Australia,Soybeans,2005,16810,534.0,34310.0,16.93
1421,Australia,Soybeans,2005,16810,534.0,34310.0,20.71
1422,Australia,Soybeans,2005,16810,534.0,34310.0,12.48
1423,Australia,Soybeans,2005,16810,534.0,34310.0,14.38
1424,Australia,Soybeans,2005,16810,534.0,34310.0,18.26
1425,Australia,Soybeans,2005,16810,534.0,34310.0,18.03
1462,Australia,Soybeans,2006,20993,534.0,35900.0,16.75
1463,Australia,Soybeans,2006,20993,534.0,35900.0,20.17
1464,Australia,Soybeans,2006,20993,534.0,35900.0,12.51
1465,Australia,Soybeans,2006,20993,534.0,35900.0,13.99
1466,Australia,Soybeans,2006,20993,534.0,35900.0,18.99
1467,Australia,Soybeans,2006,20993,534.0,35900.0,17.75
1504,Australia,Soybeans,2007,19730,534.0,32446.25,17.49
1505,Australia,Soybeans,2007,19730,534.0,32446.25,20.31
1506,Australia,Soybeans,2007,19730,534.0,32446.25,12.83
1507,Australia,Soybeans,2007,19730,534.0,32446.25,14.99
1508,Australia,Soybeans,2007,19730,534.0,32446.25,18.84
1509,Australia,Soybeans,2007,19730,534.0,32446.25,18.02
1546,Australia,Soybeans,2008,23289,534.0,42935.38,16.7
1547,Australia,Soybeans,2008,23289,534.0,42935.38,19.79
1548,Australia,Soybeans,2008,23289,534.0,42935.38,12.0
1549,Australia,Soybeans,2008,23289,534.0,42935.38,14.11
1550,Australia,Soybeans,2008,23289,534.0,42935.38,18.78
1551,Australia,Soybeans,2008,23289,534.0,42935.38,17.32
1588,Australia,Soybeans,2009,18926,534.0,38065.68,17.39
1589,Australia,Soybeans,2009,18926,534.0,38065.68,20.65
1590,Australia,Soybeans,2009,18926,534.0,38065.68,12.87
1591,Australia,Soybeans,2009,18926,534.0,38065.68,14.65
1592,Australia,Soybeans,2009,18926,534.0,38065.68,19.01
1593,Australia,Soybeans,2009,18926,534.0,38065.68,18.18
1630,Australia,Soybeans,2010,19042,534.0,42169.39,16.72
1631,Australia,Soybeans,2010,19042,534.0,42169.39,20.33
1632,Australia,Soybeans,2010,19042,534.0,42169.39,12.37
1633,Australia,Soybeans,2010,19042,534.0,42169.39,14.23
1634,Australia,Soybeans,2010,19042,534.0,42169.39,19.09
1635,Australia,Soybeans,2010,19042,534.0,42169.39,18.0
1672,Australia,Soybeans,2011,17136,534.0,47632.99,16.9
1673,Australia,Soybeans,2011,17136,534.0,47632.99,19.88
1674,Australia,Soybeans,2011,17136,534.0,47632.99,12.16
1675,Australia,Soybeans,2011,17136,534.0,47632.99,14.19
1676,Australia,Soybeans,2011,17136,534.0,47632.99,19.99
1677,Australia,Soybeans,2011,17136,534.0,47632.99,17.71
1714,Australia,Soybeans,2012,22598,534.0,48687.88,16.84
1715,Australia,Soybeans,2012,22598,534.0,48687.88,20.08
1716,Australia,Soybeans,2012,22598,534.0,48687.88,11.79
1717,Australia,Soybeans,2012,22598,534.0,48687.88,14.27
1718,Australia,Soybeans,2012,22598,534.0,48687.88,19.55
1719,Australia,Soybeans,2012,22598,534.0,48687.88,17.47
1756,Australia,Soybeans,2013,22336,534.0,45177.18,17.39
1757,Australia,Soybeans,2013,22336,534.0,45177.18,20.14
1758,Australia,Soybeans,2013,22336,534.0,45177.18,12.19
1759,Australia,Soybeans,2013,22336,534.0,45177.18,14.74
1760,Australia,Soybeans,2013,22336,534.0,45177.18,19.98
1761,Australia,Soybeans,2013,22336,534.0,45177.18,18.09
1776,Austria,Soybeans,1990,19046,1110.0,4246.0,9.23
1780,Austria,Soybeans,1991,24958,1110.0,4487.0,8.15
1784,Austria,Soybeans,1992,17480,1110.0,3897.0,9.49
1788,Austria,Soybeans,1993,23168,1110.0,3984.0,8.48
1792,Austria,Soybeans,1994,22505,1110.0,3619.0,9.89
1796,Austria,Soybeans,1995,22768,1110.0,3402.0,8.79
1800,Austria,Soybeans,1996,20100,1110.0,3565.0,7.4
1804,Austria,Soybeans,1997,22000,1110.0,3689.6,8.37
1808,Austria,Soybeans,1998,25189,1110.0,3340.3,9.01
1812,Austria,Soybeans,1999,27209,1110.0,3418.6,9.17
1816,Austria,Soybeans,2000,21139,1110.0,3563.2,10.08
1820,Austria,Soybeans,2001,20736,1110.0,3132.2,8.75
1824,Austria,Soybeans,2002,25244,1110.0,3079.2,9.62
1828,Austria,Soybeans,2004,25092,1110.0,3301.7,8.76
1832,Austria,Soybeans,2005,28267,1110.0,3404.0,8.6
1836,Austria,Soybeans,2006,25970,1110.0,3415.7,9.13
1840,Austria,Soybeans,2007,26211,1110.0,3526.6,10.03
1844,Austria,Soybeans,2008,29369,1110.0,4246.7,9.96
1848,Austria,Soybeans,2009,28171,1110.0,3531.8,9.48
1853,Austria,Soybeans,2010,27501,1110.0,3692.4,8.36
1858,Austria,Soybeans,2011,28691,1110.0,3441.5,9.42
1863,Austria,Soybeans,2012,28051,1110.0,3563.3,9.42
1868,Austria,Soybeans,2013,19697,1110.0,3108.6,10.03
1874,Azerbaijan,Soybeans,1992,1141,447.0,148.68,10.93
1880,Azerbaijan,Soybeans,1993,811,447.0,148.68,10.53
1886,Azerbaijan,Soybeans,1994,1905,447.0,148.68,11.32
1892,Azerbaijan,Soybeans,1995,10000,447.0,148.68,12.81
1898,Azerbaijan,Soybeans,1996,9363,447.0,148.68,11.96
1904,Azerbaijan,Soybeans,1997,10667,447.0,148.68,11.89
1910,Azerbaijan,Soybeans,1998,11111,447.0,148.68,12.79
1915,Azerbaijan,Soybeans,1999,12000,447.0,148.68,12.74
1921,Azerbaijan,Soybeans,2000,11940,447.0,148.68,12.61
1926,Azerbaijan,Soybeans,2001,12222,447.0,148.68,12.97
1935,Azerbaijan,Soybeans,2004,17568,447.0,148.68,12.76
1940,Azerbaijan,Soybeans,2005,5789,447.0,148.68,12.88
1946,Azerbaijan,Soybeans,2006,4906,447.0,148.68,12.66
1951,Azerbaijan,Soybeans,2007,4000,447.0,148.68,12.75
1957,Azerbaijan,Soybeans,2008,5000,447.0,262.99,12.3
1962,Azerbaijan,Soybeans,2009,6677,447.0,316.18,12.6
1967,Azerbaijan,Soybeans,2010,7136,447.0,333.85,13.85
1972,Azerbaijan,Soybeans,2011,6717,447.0,461.84,11.79
1978,Azerbaijan,Soybeans,2012,6587,447.0,516.35,13.0
1984,Azerbaijan,Soybeans,2013,6457,447.0,489.8,14.12
2258,Bangladesh,Soybeans,2005,14148,2666.0,7605.01,26.19
2259,Bangladesh,Soybeans,2005,14148,2666.0,7605.01,26.19
2272,Bangladesh,Soybeans,2006,15144,2666.0,9074.43,26.44
2273,Bangladesh,Soybeans,2006,15144,2666.0,9074.43,26.44
2286,Bangladesh,Soybeans,2007,14717,2666.0,10962.31,25.95
2287,Bangladesh,Soybeans,2007,14717,2666.0,10962.31,25.95
2300,Bangladesh,Soybeans,2008,15026,2666.0,12936.5,26.0
2301,Bangladesh,Soybeans,2008,15026,2666.0,12936.5,26.0
2314,Bangladesh,Soybeans,2009,14660,2666.0,13790.09,26.54
2315,Bangladesh,Soybeans,2009,14660,2666.0,13790.09,26.54
2328,Bangladesh,Soybeans,2010,17090,2666.0,13283.72,26.65
2329,Bangladesh,Soybeans,2010,17090,2666.0,13283.72,26.65
2342,Bangladesh,Soybeans,2011,15898,2666.0,14798.28,25.8
2343,Bangladesh,Soybeans,2011,15898,2666.0,14798.28,25.8
2356,Bangladesh,Soybeans,2012,15814,2666.0,13289.18,26.28
2357,Bangladesh,Soybeans,2012,15814,2666.0,13289.18,26.28
2370,Bangladesh,Soybeans,2013,14729,2666.0,15330.16,26.59
2371,Bangladesh,Soybeans,2013,14729,2666.0,15330.16,26.59
2597,Brazil,Soybeans,1990,17322,1761.0,49695.0,21.88
2598,Brazil,Soybeans,1990,17322,1761.0,49695.0,20.29
2599,Brazil,Soybeans,1990,17322,1761.0,49695.0,17.77
2600,Brazil,Soybeans,1990,17322,1761.0,49695.0,17.77
2601,Brazil,Soybeans,1990,17322,1761.0,49695.0,27.65
2602,Brazil,Soybeans,1990,17322,1761.0,49695.0,20.29
2603,Brazil,Soybeans,1990,17322,1761.0,49695.0,27.07
2604,Brazil,Soybeans,1990,17322,1761.0,49695.0,18.47
2605,Brazil,Soybeans,1990,17322,1761.0,49695.0,25.76
2606,Brazil,Soybeans,1990,17322,1761.0,49695.0,24.64
2607,Brazil,Soybeans,1990,17322,1761.0,49695.0,25.29
2696,Brazil,Soybeans,1991,15533,1761.0,58349.44,21.43
2697,Brazil,Soybeans,1991,15533,1761.0,58349.44,20.13
2698,Brazil,Soybeans,1991,15533,1761.0,58349.44,17.95
2699,Brazil,Soybeans,1991,15533,1761.0,58349.44,17.95
2700,Brazil,Soybeans,1991,15533,1761.0,58349.44,27.34
2701,Brazil,Soybeans,1991,15533,1761.0,58349.44,20.13
2702,Brazil,Soybeans,1991,15533,1761.0,58349.44,27.21
2703,Brazil,Soybeans,1991,15533,1761.0,58349.44,19.11
2704,Brazil,Soybeans,1991,15533,1761.0,58349.44,25.57
2705,Brazil,Soybeans,1991,15533,1761.0,58349.44,24.25
2706,Brazil,Soybeans,1991,15533,1761.0,58349.44,25.06
2795,Brazil,Soybeans,1992,20352,1761.0,67003.89,21.35
2796,Brazil,Soybeans,1992,20352,1761.0,67003.89,20.21
2797,Brazil,Soybeans,1992,20352,1761.0,67003.89,17.8
2798,Brazil,Soybeans,1992,20352,1761.0,67003.89,17.8
2799,Brazil,Soybeans,1992,20352,1761.0,67003.89,27.58
2800,Brazil,Soybeans,1992,20352,1761.0,67003.89,20.21
2801,Brazil,Soybeans,1992,20352,1761.0,67003.89,27.42
2802,Brazil,Soybeans,1992,20352,1761.0,67003.89,18.72
2803,Brazil,Soybeans,1992,20352,1761.0,67003.89,25.61
2804,Brazil,Soybeans,1992,20352,1761.0,67003.89,24.24
2805,Brazil,Soybeans,1992,20352,1761.0,67003.89,24.97
2894,Brazil,Soybeans,1993,21241,1761.0,75658.33,21.94
2895,Brazil,Soybeans,1993,21241,1761.0,75658.33,20.49
2896,Brazil,Soybeans,1993,21241,1761.0,75658.33,17.93
2897,Brazil,Soybeans,1993,21241,1761.0,75658.33,17.93
2898,Brazil,Soybeans,1993,21241,1761.0,75658.33,28.18
2899,Brazil,Soybeans,1993,21241,1761.0,75658.33,20.49
2900,Brazil,Soybeans,1993,21241,1761.0,75658.33,26.89
2901,Brazil,Soybeans,1993,21241,1761.0,75658.33,18.69
2902,Brazil,Soybeans,1993,21241,1761.0,75658.33,26.06
2903,Brazil,Soybeans,1993,21241,1761.0,75658.33,24.65
2904,Brazil,Soybeans,1993,21241,1761.0,75658.33,25.41
2993,Brazil,Soybeans,1994,21632,1761.0,84312.78,21.91
2994,Brazil,Soybeans,1994,21632,1761.0,84312.78,20.77
2995,Brazil,Soybeans,1994,21632,1761.0,84312.78,18.42
2996,Brazil,Soybeans,1994,21632,1761.0,84312.78,18.42
2997,Brazil,Soybeans,1994,21632,1761.0,84312.78,27.53
2998,Brazil,Soybeans,1994,21632,1761.0,84312.78,20.77
2999,Brazil,Soybeans,1994,21632,1761.0,84312.78,26.9
3000,Brazil,Soybeans,1994,21632,1761.0,84312.78,19.15
3001,Brazil,Soybeans,1994,21632,1761.0,84312.78,26.05
3002,Brazil,Soybeans,1994,21632,1761.0,84312.78,24.71
3003,Brazil,Soybeans,1994,21632,1761.0,84312.78,25.42
3092,Brazil,Soybeans,1995,21998,1761.0,92967.22,22.07
3093,Brazil,Soybeans,1995,21998,1761.0,92967.22,20.61
3094,Brazil,Soybeans,1995,21998,1761.0,92967.22,18.27
3095,Brazil,Soybeans,1995,21998,1761.0,92967.22,18.27
3096,Brazil,Soybeans,1995,21998,1761.0,92967.22,27.52
3097,Brazil,Soybeans,1995,21998,1761.0,92967.22,20.61
3098,Brazil,Soybeans,1995,21998,1761.0,92967.22,27.34
3099,Brazil,Soybeans,1995,21998,1761.0,92967.22,18.89
3100,Brazil,Soybeans,1995,21998,1761.0,92967.22,26.05
3101,Brazil,Soybeans,1995,21998,1761.0,92967.22,24.77
3102,Brazil,Soybeans,1995,21998,1761.0,92967.22,25.65
3191,Brazil,Soybeans,1996,22493,1761.0,101621.67,21.56
3192,Brazil,Soybeans,1996,22493,1761.0,101621.67,20.18
3193,Brazil,Soybeans,1996,22493,1761.0,101621.67,17.83
3194,Brazil,Soybeans,1996,22493,1761.0,101621.67,17.83
3195,Brazil,Soybeans,1996,22493,1761.0,101621.67,27.6
3196,Brazil,Soybeans,1996,22493,1761.0,101621.67,20.18
3197,Brazil,Soybeans,1996,22493,1761.0,101621.67,27.07
3198,Brazil,Soybeans,1996,22493,1761.0,101621.67,18.63
3199,Brazil,Soybeans,1996,22493,1761.0,101621.67,25.94
3200,Brazil,Soybeans,1996,22493,1761.0,101621.67,24.28
3201,Brazil,Soybeans,1996,22493,1761.0,101621.67,25.45
3290,Brazil,Soybeans,1997,22977,1761.0,110276.11,21.91
3291,Brazil,Soybeans,1997,22977,1761.0,110276.11,20.77
3292,Brazil,Soybeans,1997,22977,1761.0,110276.11,18.36
3293,Brazil,Soybeans,1997,22977,1761.0,110276.11,18.36
3294,Brazil,Soybeans,1997,22977,1761.0,110276.11,27.85
3295,Brazil,Soybeans,1997,22977,1761.0,110276.11,20.77
3296,Brazil,Soybeans,1997,22977,1761.0,110276.11,27.57
3297,Brazil,Soybeans,1997,22977,1761.0,110276.11,19.12
3298,Brazil,Soybeans,1997,22977,1761.0,110276.11,25.96
3299,Brazil,Soybeans,1997,22977,1761.0,110276.11,24.71
3300,Brazil,Soybeans,1997,22977,1761.0,110276.11,25.2
3389,Brazil,Soybeans,1998,23533,1761.0,118930.56,22.35
3390,Brazil,Soybeans,1998,23533,1761.0,118930.56,20.71
3391,Brazil,Soybeans,1998,23533,1761.0,118930.56,18.2
3392,Brazil,Soybeans,1998,23533,1761.0,118930.56,18.2
3393,Brazil,Soybeans,1998,23533,1761.0,118930.56,28.76
3394,Brazil,Soybeans,1998,23533,1761.0,118930.56,20.71
3395,Brazil,Soybeans,1998,23533,1761.0,118930.56,27.54
3396,Brazil,Soybeans,1998,23533,1761.0,118930.56,18.49
3397,Brazil,Soybeans,1998,23533,1761.0,118930.56,26.63
3398,Brazil,Soybeans,1998,23533,1761.0,118930.56,24.78
3399,Brazil,Soybeans,1998,23533,1761.0,118930.56,26.08
3488,Brazil,Soybeans,1999,23724,1761.0,127585.0,21.59
3489,Brazil,Soybeans,1999,23724,1761.0,127585.0,20.04
3490,Brazil,Soybeans,1999,23724,1761.0,127585.0,17.66
3491,Brazil,Soybeans,1999,23724,1761.0,127585.0,17.66
3492,Brazil,Soybeans,1999,23724,1761.0,127585.0,27.64
3493,Brazil,Soybeans,1999,23724,1761.0,127585.0,20.04
3494,Brazil,Soybeans,1999,23724,1761.0,127585.0,26.66
3495,Brazil,Soybeans,1999,23724,1761.0,127585.0,18.39
3496,Brazil,Soybeans,1999,23724,1761.0,127585.0,25.88
3497,Brazil,Soybeans,1999,23724,1761.0,127585.0,24.01
3498,Brazil,Soybeans,1999,23724,1761.0,127585.0,25.32
3587,Brazil,Soybeans,2000,24033,1761.0,140423.0,21.69
3588,Brazil,Soybeans,2000,24033,1761.0,140423.0,20.32
3589,Brazil,Soybeans,2000,24033,1761.0,140423.0,18.01
3590,Brazil,Soybeans,2000,24033,1761.0,140423.0,18.01
3591,Brazil,Soybeans,2000,24033,1761.0,140423.0,27.5
3592,Brazil,Soybeans,2000,24033,1761.0,140423.0,20.32
3593,Brazil,Soybeans,2000,24033,1761.0,140423.0,26.82
3594,Brazil,Soybeans,2000,24033,1761.0,140423.0,18.65
3595,Brazil,Soybeans,2000,24033,1761.0,140423.0,25.71
3596,Brazil,Soybeans,2000,24033,1761.0,140423.0,24.36
3597,Brazil,Soybeans,2000,24033,1761.0,140423.0,25.35
3686,Brazil,Soybeans,2001,27105,1761.0,151523.0,22.14
3687,Brazil,Soybeans,2001,27105,1761.0,151523.0,20.96
3688,Brazil,Soybeans,2001,27105,1761.0,151523.0,18.67
3689,Brazil,Soybeans,2001,27105,1761.0,151523.0,18.67
3690,Brazil,Soybeans,2001,27105,1761.0,151523.0,27.69
3691,Brazil,Soybeans,2001,27105,1761.0,151523.0,20.96
3692,Brazil,Soybeans,2001,27105,1761.0,151523.0,27.08
3693,Brazil,Soybeans,2001,27105,1761.0,151523.0,19.73
3694,Brazil,Soybeans,2001,27105,1761.0,151523.0,26.08
3695,Brazil,Soybeans,2001,27105,1761.0,151523.0,24.99
3696,Brazil,Soybeans,2001,27105,1761.0,151523.0,25.59
3785,Brazil,Soybeans,2002,25739,1761.0,145552.0,22.5
3786,Brazil,Soybeans,2002,25739,1761.0,145552.0,21.3
3787,Brazil,Soybeans,2002,25739,1761.0,145552.0,19.09
3788,Brazil,Soybeans,2002,25739,1761.0,145552.0,19.09
3789,Brazil,Soybeans,2002,25739,1761.0,145552.0,27.85
3790,Brazil,Soybeans,2002,25739,1761.0,145552.0,21.3
3791,Brazil,Soybeans,2002,25739,1761.0,145552.0,27.27
3792,Brazil,Soybeans,2002,25739,1761.0,145552.0,19.49
